Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Căn hộ chung cư tại Mỹ Đình Pearl	136 m²	7 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.012432098388672	105.76739501953125	Dự án Mỹ Đình Pearl, Phường Phú Đô, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại The Garden Hills - 99 Trần Bình	80 m²	3,45 tỷ		2 phòng	2 phòng	Đã Có Sổ. Sãng Sàn Giao Dịch	21.0304050445557	105.777030944824	The Garden Hills - 99 Trần Bình, 99, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại PentStudio	76 m²	4,6 tỷ	Đông - Bắc	1 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0640926361084	105.80973815918	Dự án PentStudio, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại phường Ngọc Thụy	43 m²	2,8 tỷ				Sổ hồng	21.0590369255725	105.868185428359	Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	36 m²	3,6 tỷ		3 phòng	4 phòng	Sổ đỏ	20.9681471	105.7549524	Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Chung cư The Legacy	75 m²	4,88 tỷ	Tây - Bắc	2 phòng		Sổ đỏ/ Sổ hồng	21.000560760498047	105.80291748046875	Dự án Chung cư The Legacy, 109 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại phố Thái Hà	50 m²	13,2 tỷ		4 phòng		Sổ đỏ/ Sổ hồng	21.012597	105.8201087	Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại A10-A14 Nam Trung Yên	94 m²	5 tỷ	Đông - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0190563201904	105.787979125977	Dự án A10-A14 Nam Trung Yên, Đường Nguyễn Chánh, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà mặt phố tại phố Vũ Tông Phan	245 m²	100 tỷ				Sổ đỏ/ Sổ hồng	20.9980038	105.8172118	Phố Vũ Tông Phan, Phường Hạ Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Quang Trung	46 m²	2,37 tỷ	Đông	5 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9652675	105.7681278	Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội	Hà Đông	Hà Nội
