Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon
Nhà riêng tại phố Kim Mã	-0.4697143677622291	9.75	4	4	2	21.031921	105.82514
Nhà riêng tại đường Nam Dư	-0.5930944471498958	3.2	4	4	2	20.9822997	105.8866913
Căn hộ chung cư tại 6th Element	0.3445941561963708	5.1	2	2	-1	21.0596752166748	105.804077148438
Nhà riêng tại đường Cầu Đất	0.22121407680870414	10.5	8	6	2	21.0234820475004	105.857654503149
Nhà riêng tại đường Hoàng Mai	-0.913882653557829	4.5	3	4	2	20.9852949	105.8435415
Nhà riêng tại đường Trung Phụng	0.6407063467267707	10.6	2	2	2	21.0163204	105.8411739
Nhà riêng tại Khu đô thị mới Định Công	-0.42036233600716244	15.0	6	6	2	20.98556327819824	105.83258056640624
Nhà riêng tại đường Cổ Nhuế	-0.9385586694353624	4.58	6	6	2	21.064259	105.779589
Nhà riêng tại đường Trần Quang Diệu	-0.05022209784416248	16.0	5	6	2	21.0156019	105.8245088
Nhà riêng tại đường Láng	1.8251551088483706	17.5	12	12	-1	21.0216524	105.8009999
Nhà riêng tại đường Nguyễn Thái Học	-1.061938748823029	4.0	2	2	2	21.0324221782261	105.829922390738
Nhà riêng tại đường Đại Mỗ	-0.913882653557829	3.3	3	4	2	20.9898009	105.7615252
Nhà riêng tại đường Trung Phụng	-0.9632346853128957	2.75	3	4	2	21.0165565	105.8385705
Nhà riêng tại phố Chùa Láng	-0.17360217723182914	14.5	6	5	2	21.023229	105.8062465
Căn hộ chung cư tại Udic Westlake	2.442055505786704	6.7	3	2	2	21.0801429748535	105.813690185547
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.2229542089868958	1.6	2	1	-1	21.00241470336914	105.964111328125
Căn hộ chung cư tại CT2 Trung Văn - Vinaconex 3	1.553718934195504	5.0	3	2	2	20.99372673034668	105.77840423583984
Căn hộ chung cư tại Diamond Flower Tower	2.3186754263990372	8.0	3	2	2	21.005579	105.80375
Căn hộ chung cư tại Chung cư The Legacy	0.9861705690122373	5.0	3	2	1	21.000560760498	105.802917480469
Nhà riêng tại phố Phương Mai	-0.7905025741701623	5.5	4	3	2	21.0012748	105.8393044
Nhà riêng tại đường Lê Trọng Tấn	-0.2969822566194958	9.0	6	4	2	21.0002924	105.8280106
Nhà riêng tại phố Lạc Trung	0.7640864261144374	12.18	7	7	2	21.0029863	105.865675
Căn hộ chung cư tại đường Nguyễn Tuân	0.961494553134704	3.9	3	2	2	20.9989309	105.8028428
Căn hộ chung cư tại The Matrix One	1.0848746325223706	6.2	3	2	2	21.0093860626221	105.773872375488
Căn hộ chung cư tại Masteri Waterfront	-0.3710103042520958	3.0	2	2	1	20.99399375915528	105.95020294189452
Nhà riêng tại phố Doãn Kế Thiện	-0.7164745265375624	6.3	6	4	2	21.04087	105.779158
Nhà riêng tại đường Văn Phúc	-0.7164745265375624	3.8	4	4	2	21.033212	105.8169693
Nhà riêng tại phố Nghĩa Đô	-0.5190663995172957	12.5	6	4	2	21.0483269	105.7956063
Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân	0.14718602917610416	4.88	2	2	2	21.004613876342773	105.8040771484375
Nhà biệt thự, liền kề tại đường Võ Chí Công	0.14718602917610416	19.8	5	5	2	21.0501369	105.8046899
Căn hộ chung cư tại Chung cư CT36 Xuân La	0.17186204505363747	3.83	2	2	2	21.059675216674805	105.8040771484375
Căn hộ chung cư tại Ecohome Phúc Lợi	-0.025546081966629157	1.77	2	2	2	21.0423583984375	105.92729949951172
Nhà riêng tại đường Hà Huy Tập	0.023805949788437503	4.7	4	3	2	21.0845397	105.9164987
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.025546081966629157	1.9	2	2	2	21.00241470336914	105.964111328125
Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh	-0.09957412959922915	1.4	2	2	-1	20.9397029876709	105.7872543334961
Nhà riêng tại đường Bồ Đề	-0.2229542089868958	8.9	5	5	2	21.038073	105.8719363
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	0.2705661085637708	2.29	3	2	2	21.00241470336914	105.964111328125
Căn hộ chung cư tại King Palace	1.1342266642774375	5.9	3	2	1	21.00029182434082	105.81600952148438
Nhà riêng tại phố Hồng Tiến	-0.6671224947824957	4.38	3	4	2	21.0392207	105.8729201
Căn hộ chung cư tại Sunshine Garden	1.6770990135831707	5.5	4	2	2	20.9966850280762	105.873847961426
Nhà mặt phố tại Khu đô thị mới Văn Quán	0.9121425213796374	21.0	10	6	2	20.97396278381348	105.78907012939452
Nhà riêng tại đường Nguyễn Khuyến	-0.3216582724970291	7.45	3	3	2	20.9750214	105.7894769
Nhà riêng tại đường Lâm Du	-0.3710103042520958	5.25	6	4	2	21.035675	105.8726639
Nhà riêng tại đường Thụy Khuê	-0.7164745265375624	3.75	4	4	2	21.0427171	105.8241613
Nhà riêng tại phố Kim Mã	-1.1606428123331622	3.15	3	4	2	21.031921	105.82514
Nhà riêng tại đường An Dương	-0.8398546059252291	4.2	5	5	2	21.0537195	105.840061
Nhà riêng tại đường Thụy Khuê	-0.765826558292629	5.9	4	3	2	21.0427171	105.8241613
Căn hộ chung cư tại Vinhomes Gardenia	0.14718602917610416	4.0	2	2	2	21.03656768798828	105.76048278808594
Nhà mặt phố tại đường Quốc lộ 3	2.3680274581541036	22.0	15	15	2	21.1612137	105.8464346
Căn hộ chung cư tại Tecco Skyville Tower	1.4303388548078373	3.17	4	3	2	20.9319801330566	105.850410461426
Nhà riêng tại đường Trần Quang Diệu	0.2705661085637708	14.6	4	4	2	21.0156019	105.8245088
Nhà riêng tại đường Thụy Khuê	-1.0372627329454958	2.95	3	2	-1	21.0427171	105.8241613
