Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Quận	Thành phố
Nhà riêng tại đường Phú Đô	57	4.5	4	4	2	21.0136368	105.7687504	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	126	16.5	5	5	2	20.958282470703125	105.76719665527344	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	90	9.6	5	5	2	20.958282470703125	105.76719665527344	Hà Đông	Hà Nội
Nhà riêng tại đường Phúc Lợi	40	2.68	2	2	2	21.0387726	105.9346688	Long Biên	Hà Nội
Nhà riêng tại đường Trịnh Văn Bô	32	2.75	3	4	2	21.0379017	105.7461221	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Seasons Avenue	100	4.0	2	2	-1	20.9870262145996	105.786834716797	Hà Đông	Hà Nội
Căn hộ chung cư tại Valencia Garden	62	1.85	2	1	2	21.05584526062012	105.91175079345705	Long Biên	Hà Nội
Nhà riêng tại đường Ỷ La	35	2.9	3	4	2	20.9709582	105.7470688	Hà Đông	Hà Nội
Căn hộ chung cư tại Heritage West Lake	181	24.0	4	3	2	21.0728492736816	105.812431335449	Tây Hồ	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	35	5.5	3	4	2	21.0395998	105.8279835	Ba Đình	Hà Nội
Căn hộ chung cư tại Tòa nhà 197 Trần Phú	72	2.4	2	2	2	20.979808807373047	105.78756713867188	Hà Đông	Hà Nội
Nhà riêng tại đường Văn Phú	35	3.55	3	4	2	20.9620075	105.7685814	Hà Đông	Hà Nội
Nhà mặt phố tại đường Lạc Long Quân	40	18.0	3	5	2	21.0610134	105.809127	Tây Hồ	Hà Nội
Nhà riêng tại đường An Trai	36	2.95	3	4	2	21.0330854	105.735332	Hoài Đức	Hà Nội
Nhà riêng tại đường Đội Cấn	62	9.6	4	5	2	21.0378684	105.8107873	Ba Đình	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	68	1.85	2	2	2	21.0024147033691	105.964111328125	Gia Lâm	Hà Nội
Nhà riêng tại phố Vũ Tông Phan	60	4.85	6	4	2	20.9980038	105.8172118	Thanh Xuân	Hà Nội
Nhà riêng tại đường Ngọc Lâm	60	4.8	3	4	2	21.0468238	105.8717343	Long Biên	Hà Nội
Nhà riêng tại đường Yên Hòa	55	6.79	7	4	2	21.023216	105.7948113	Cầu Giấy	Hà Nội
Căn hộ chung cư tại đường Thanh Nhàn	28	1.15	2	1	-1	21.0027755	105.8563287	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Trần Cung	45	5.5	4	4	2	21.0523823	105.7891513	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại The Terra An Hưng	90	3.43	3	2	2	20.974346160888672	105.75416564941406	Hà Đông	Hà Nội
Nhà riêng tại đường Nghĩa Lộ	35	2.7	6	4	2	20.9511784	105.7397484	Hà Đông	Hà Nội
Căn hộ chung cư tại đường Phạm Văn Đồng	32	0.75	1	1	1	21.0730776	105.7857525	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Iris Garden	133	4.66	3	2	2	21.0311622619629	105.760414123535	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại đường Kim Ngưu	30	1.89	1	1	2	21.0004065	105.8615783	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Láng	54	4.65	4	3	2	21.0116253	105.8099949	Đống Đa	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	63	14.0	4	4	2	21.0002924	105.8280106	Thanh Xuân	Hà Nội
Nhà riêng tại Khu đô thị Đại Kim	54	12.5	4	6	2	20.9748001098633	105.835304260254	Hoàng Mai	Hà Nội
Nhà riêng tại đường Xuân La	65	15.5	4	5	2	21.0644876	105.8061035	Tây Hồ	Hà Nội
Căn hộ chung cư tại đường Cửa Bắc	110	2.5	3	1	2	21.0436773	105.8428824	Ba Đình	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Xa La	95	2.59	3	2	2	20.9624671936035	105.792366027832	Hà Đông	Hà Nội
Căn hộ chung cư tại Dolphin Plaza	175	5.95	3	2	2	21.030044555664062	105.77662658691406	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Ngọc Lâm	35	4.1	4	3	2	21.0468238	105.8717343	Long Biên	Hà Nội
Nhà riêng tại đường Hòe Thị	30	2.9	3	3	2	21.0340856	105.7433023	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Kim Giang	40	3.85	4	4	2	20.9791213	105.8210801	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Hà Nội Paragon	103	4.8	3	2	2	21.03117752075196	105.78939819335938	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đội Nhân	42	7.2	5	4	2	21.0411352	105.8113651	Ba Đình	Hà Nội
Căn hộ chung cư tại IA20 Ciputra	110	3.77	4	2	2	21.091917037963867	105.78500366210938	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Khu đô thị Việt Hưng	73	2.05	2	2	2	21.06269073486328	105.90833282470705	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	10	1.25	3	3	2	21.0438304	105.8723803	Long Biên	Hà Nội
Nhà riêng tại đường Đại lộ Thăng Long	41	1.85	3	3	2	21.0041479	105.6781472	Hoài Đức	Hà Nội
Nhà riêng tại đường Vĩnh Hưng	63	4.5	4	5	-1	20.9891728	105.8779296	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Tây Hồ Residence	85	4.6	2	2	2	21.055543899536133	105.8051300048828	Tây Hồ	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	50	8.0	4	4	2	20.9681471	105.7549524	Hà Đông	Hà Nội
Căn hộ chung cư tại Chung cư The Nine	87	5.0	2	2	2	21.040441513061523	105.7807159423828	Cầu Giấy	Hà Nội
Nhà riêng tại phố Phạm Tuấn Tài	50	13.8	4	4	2	21.043684	105.7863369	Cầu Giấy	Hà Nội
Nhà riêng tại đường Thụy Khuê	48	11.5	4	4	2	21.0427171	105.8241613	Tây Hồ	Hà Nội
Căn hộ chung cư tại Hoàng Thành Pearl	80	4.4	2	2	-1	21.040159225463867	105.76131439208984	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Vinhomes Gardenia	105	4.5	2	2	2	21.0365676879883	105.760482788086	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Vinhomes Smart City	80	3.68	3	1	2	21.008852005004883	105.7439193725586	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Goldmark City	135	5.35	3	2	-1	21.0442333221436	105.767318725586	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	95	13.0	6	5	2	21.0438304	105.8723803	Long Biên	Hà Nội
Nhà riêng tại đường Tô Vĩnh Diện	36	6.5	3	4	2	20.9996802	105.820891	Thanh Xuân	Hà Nội
Nhà riêng tại phường Ngọc Lâm	71	13.6	5	5	2	21.046162477343	105.871702740175	Long Biên	Hà Nội
Nhà riêng tại phố Nghĩa Dũng	80	13.9	4	3	2	21.0477589	105.8472772	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Tiểu khu đô thị Nam La Khê	126	16.5	5	5	2	20.972412109375	105.76152801513672	Hà Đông	Hà Nội
Nhà riêng tại phố Bạch Mai	32	3.7	4	3	2	20.9979326	105.8503243	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Phạm Tuấn Tài	67	12.5	4	6	2	21.043684	105.7863369	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Hoàng	40	6.5	4	5	2	21.0312752	105.7744451	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Kim Giang	59	4.2	3	3	2	20.9829753	105.8154407	Thanh Xuân	Hà Nội
Nhà riêng tại đường Phú Gia	35	3.69	4	4	2	21.0857029824546	105.807473840198	Tây Hồ	Hà Nội
Nhà riêng tại đường An Dương Vương	80	8.9	3	3	2	21.0897932	105.804506	Tây Hồ	Hà Nội
Căn hộ chung cư tại Tòa nhà 282 Lĩnh Nam	67	2.1	2	2	2	20.981918334960938	105.8793716430664	Hoàng Mai	Hà Nội
Nhà riêng tại đường Ngọc Thụy	50	4.7	5	4	2	21.0497426	105.8667669	Long Biên	Hà Nội
Căn hộ chung cư tại C3 Tower - Golden Palace	244	12.5	5	3	-1	21.00445556640625	105.80252838134766	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	90	12.3	5	4	-1	20.958282470703125	105.76719665527344	Hà Đông	Hà Nội
Nhà riêng tại phố Thái Thịnh	36	4.8	3	3	2	21.0104478	105.8184384	Đống Đa	Hà Nội
Nhà mặt phố tại đường Đặng Văn Ngữ	75	24.0	5	5	2	21.010018	105.831154	Đống Đa	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	46	1.2	1	1	-1	20.97145652770996	105.8281707763672	Hoàng Mai	Hà Nội
Nhà mặt phố tại đường Cù Chính Lan	75	17.5	5	4	2	20.9996748	105.8233472	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Vinata Tower	90	4.1	2	2	2	20.9965934753418	105.79893493652344	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Northern Diamond	141	5.5	3	2	2	21.03144645690918	105.90082550048828	Long Biên	Hà Nội
Nhà riêng tại đường Võ Chí Công	35	4.6	3	4	-1	21.0501369	105.8046899	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Imperial Plaza	117	4.5	3	2	1	20.9854316711426	105.839340209961	Thanh Xuân	Hà Nội
Nhà riêng tại phố Kim Mã	50	9.75	4	4	2	21.031921	105.82514	Ba Đình	Hà Nội
Nhà riêng tại đường Nam Dư	45	3.2	4	4	2	20.9822997	105.8866913	Hoàng Mai	Hà Nội
Căn hộ chung cư tại 6th Element	83	5.1	2	2	-1	21.0596752166748	105.804077148438	Tây Hồ	Hà Nội
Nhà riêng tại đường Cầu Đất	78	10.5	8	6	2	21.0234820475004	105.857654503149	Hoàn Kiếm	Hà Nội
Bán đất tại đường Trung Văn	148	24.3	1	1	2	20.9896224	105.7852105	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Mai	32	4.5	3	4	2	20.9852949	105.8435415	Hoàng Mai	Hà Nội
Nhà riêng tại đường Trung Phụng	95	10.6	2	2	2	21.0163204	105.8411739	Đống Đa	Hà Nội
Nhà riêng tại Khu đô thị mới Định Công	52	15.0	6	6	2	20.98556327819824	105.83258056640624	Hoàng Mai	Hà Nội
Nhà riêng tại đường Cổ Nhuế	31	4.58	6	6	2	21.064259	105.779589	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	67	16.0	5	6	2	21.0156019	105.8245088	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Thái Học	26	4.0	2	2	2	21.0324221782261	105.829922390738	Ba Đình	Hà Nội
Nhà riêng tại đường Đại Mỗ	32	3.3	3	4	2	20.9898009	105.7615252	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Trung Phụng	30	2.75	3	4	2	21.0165565	105.8385705	Đống Đa	Hà Nội
Nhà riêng tại phố Chùa Láng	62	14.5	6	5	2	21.023229	105.8062465	Đống Đa	Hà Nội
Căn hộ chung cư tại Udic Westlake	168	6.7	3	2	2	21.0801429748535	105.813690185547	Tây Hồ	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	60	1.6	2	1	-1	21.00241470336914	105.964111328125	Gia Lâm	Hà Nội
Nhà mặt phố tại phố Bạch Mai	85	25.0	6	4	2	20.998032	105.8503425	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại CT2 Trung Văn - Vinaconex 3	132	5.0	3	2	2	20.99372673034668	105.77840423583984	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Diamond Flower Tower	163	8.0	3	2	2	21.005579	105.80375	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Chung cư The Legacy	109	5.0	3	2	1	21.000560760498	105.802917480469	Thanh Xuân	Hà Nội
Nhà riêng tại phố Phương Mai	37	5.5	4	3	2	21.0012748	105.8393044	Đống Đa	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	57	9.0	6	4	2	21.0002924	105.8280106	Thanh Xuân	Hà Nội
Căn hộ chung cư tại đường Nguyễn Tuân	108	3.9	3	2	2	20.9989309	105.8028428	Thanh Xuân	Hà Nội
Căn hộ chung cư tại The Matrix One	113	6.2	3	2	2	21.0093860626221	105.773872375488	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Masteri Waterfront	54	3.0	2	2	1	20.99399375915528	105.95020294189452	Gia Lâm	Hà Nội
Nhà riêng tại phố Doãn Kế Thiện	40	6.3	6	4	2	21.04087	105.779158	Cầu Giấy	Hà Nội
Nhà riêng tại đường Văn Phúc	40	3.8	4	4	2	21.033212	105.8169693	Hà Đông	Hà Nội
Nhà riêng tại phố Nghĩa Đô	48	12.5	6	4	2	21.0483269	105.7956063	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân	75	4.88	2	2	2	21.004613876342773	105.8040771484375	Thanh Xuân	Hà Nội
